STRING,syllable1a_p,syllable1a_g,syllable1a_pg,syllable1b_p,syllable1b_g,syllable1b_pg,syllable1c_p,syllable1c_g,syllable1c_pg,syllable1d_p,syllable1d_g,syllable1d_pg,syllable1e_p,syllable1e_g,syllable1e_pg,syllable1f_p,syllable1f_g,syllable1f_pg,syllable2a_p,syllable2a_g,syllable2a_pg,syllable2b_p,syllable2b_g,syllable2b_pg,syllable2c_p,syllable2c_g,syllable2c_pg,syllable2d_p,syllable2d_g,syllable2d_pg,syllable2e_p,syllable2e_g,syllable2e_pg,syllable2f_p,syllable2f_g,syllable2f_pg,syllable3a_p,syllable3a_g,syllable3a_pg,syllable3b_p,syllable3b_g,syllable3b_pg,syllable3c_p,syllable3c_g,syllable3c_pg,syllable3d_p,syllable3d_g,syllable3d_pg,syllable3e_p,syllable3e_g,syllable3e_pg,syllable3f_p,syllable3f_g,syllable3f_pg,syllable4a_p,syllable4a_g,syllable4a_pg,syllable4b_p,syllable4b_g,syllable4b_pg,syllable4c_p,syllable4c_g,syllable4c_pg,syllable4d_p,syllable4d_g,syllable4d_pg,syllable4e_p,syllable4e_g,syllable4e_pg,syllable4f_p,syllable4f_g,syllable4f_pg,syllable5a_p,syllable5a_g,syllable5a_pg,syllable5b_p,syllable5b_g,syllable5b_pg,syllable5c_p,syllable5c_g,syllable5c_pg,syllable5d_p,syllable5d_g,syllable5d_pg,syllable5e_p,syllable5e_g,syllable5e_pg,syllable5f_p,syllable5f_g,syllable5f_pg,syllable6a_p,syllable6a_g,syllable6a_pg,syllable6b_p,syllable6b_g,syllable6b_pg,syllable6c_p,syllable6c_g,syllable6c_pg,syllable6d_p,syllable6d_g,syllable6d_pg,syllable6e_p,syllable6e_g,syllable6e_pg,syllable6f_p,syllable6f_g,syllable6f_pg
eye,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyeball,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,b,b,b+b,ɔ,a,ɔ+a,l,ll,l+ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyebrow,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,b,b,b+b,r,r,r+r,aʊ,ow,aʊ+ow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyedrop,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,d,d,d+d,r,r,r+r,ɑ,o,ɑ+o,p,p,p+p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyedropper,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,d,d,d+d,r,r,r+r,ɑ,o,ɑ+o,,,,,,,,,,p,pp,p+pp,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyeglass,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,g,g,g+g,l,l,l+l,æ,a,æ+a,s,ss,s+ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyeglasses,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,g,g,g+g,l,l,l+l,æ,a,æ+a,,,,,,,,,,s,ss,s+ss,ə,e,ə+e,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyeglasses,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,g,g,g+g,l,l,l+l,æ,a,æ+a,,,,,,,,,,s,ss,s+ss,ɪ,e,ɪ+e,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyelash,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,l,l,l+l,æ,a,æ+a,ʃ,sh,ʃ+sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyelid,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,l,l,l+l,ɪ,i,ɪ+i,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyes,aɪ,eye,aɪ+eye,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyesight,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,s,s,s+s,aɪ,igh,aɪ+igh,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyesore,aɪ,eye,aɪ+eye,,,,,,,,,,,,,,,,s,s,s+s,ɔ,o,ɔ+o_e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabric,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,b,b,b+b,r,r,r+r,ɪ,i,ɪ+i,k,c,k+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabulous,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,b,b,b+b,jə,u,jə+u,,,,,,,,,,,,,l,l,l+l,ə,ou,ə+ou,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face,f,f,f+f,eɪ,a,eɪ+a_e,s,c,s+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faced,f,f,f+f,eɪ,a,eɪ+a,s,c,s+c,t,ed,t+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facedown,f,f,f+f,eɪ,a,eɪ+a_e,s,c,s+c,,,,,,,,,,d,d,d+d,aʊ,ow,aʊ+ow,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faces,f,f,f+f,eɪ,a,eɪ+a,,,,,,,,,,,,,s,c,s+c,ə,e,ə+e,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faces,f,f,f+f,eɪ,a,eɪ+a,,,,,,,,,,,,,s,c,s+c,ɪ,e,ɪ+e,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facetious,f,f,f+f,ə,a,ə+a,,,,,,,,,,,,,s,c,s+c,i,e,i+e,,,,,,,,,,,,,ʃ,ti,ʃ+ti,ə,ou,ə+ou,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facial,f,f,f+f,eɪ,a,eɪ+a,,,,,,,,,,,,,ʃ,ci,ʃ+ci,ə,a,ə+a,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,f,f,f+f,ə,a,ə+a,,,,,,,,,,,,,s,c,s+c,ɪ,i,ɪ+i,,,,,,,,,,,,,l,l,l+l,ɪ,i,ɪ+i,,,,,,,,,,,,,t,t,t+t,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fact,f,f,f+f,æ,a,æ+a,k,c,k+c,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factor,f,f,f+f,æ,a,æ+a,k,c,k+c,,,,,,,,,,t,t,t+t,ɚ,o,ɚ+o,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factory,f,f,f+f,æ,a,æ+a,k,c,k+c,,,,,,,,,,t,t,t+t,ɚ,o,ɚ+o,r,r,r+r,,,,,,,,,,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facts,f,f,f+f,æ,a,æ+a,k,c,k+c,t,t,t+t,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faculty,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,k,c,k+c,ə,u,ə+u,l,l,l+l,,,,,,,,,,t,t,t+t,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fad,f,f,f+f,æ,a,æ+a,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fade,f,f,f+f,eɪ,a,eɪ+a_e,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fag,f,f,f+f,æ,a,æ+a,g,g,g+g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faggot,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,g,gg,g+gg,ə,o,ə+o,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fahrenheit,f,f,f+f,ɛ,ah,ɛ+ah,,,,,,,,,,,,,r,r,r+r,ə,e,ə+e,n,n,n+n,,,,,,,,,,h,h,h+h,aɪ,ei,aɪ+ei,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fail,f,f,f+f,eɪ,ai,eɪ+ai,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,f,f,f+f,eɪ,ai,eɪ+ai,l,l,l+l,d,ed,d+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failing,f,f,f+f,eɪ,ai,eɪ+ai,,,,,,,,,,,,,l,l,l+l,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fails,f,f,f+f,eɪ,ai,eɪ+ai,l,l,l+l,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failure,f,f,f+f,eɪ,ai,eɪ+ai,l,l,l+l,,,,,,,,,,jɚ,u,jɚ+u_e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faint,f,f,f+f,eɪ,ai,eɪ+ai,n,n,n+n,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fair,f,f,f+f,ɛ,ai,ɛ+ai,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairground,f,f,f+f,ɛ,ai,ɛ+ai,r,r,r+r,,,,,,,,,,g,g,g+g,r,r,r+r,aʊ,ou,aʊ+ou,n,n,n+n,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairness,f,f,f+f,ɛ,ai,ɛ+ai,r,r,r+r,,,,,,,,,,n,n,n+n,ə,e,ə+e,s,ss,s+ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairy,f,f,f+f,ɛ,ai,ɛ+ai,,,,,,,,,,,,,r,r,r+r,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairytale,f,f,f+f,ɛ,ai,ɛ+ai,,,,,,,,,,,,,r,r,r+r,i,y,i+y,,,,,,,,,,,,,t,t,t+t,eɪ,a,eɪ+a_e,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faith,f,f,f+f,eɪ,ai,eɪ+ai,θ,th,θ+th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fake,f,f,f+f,eɪ,a,eɪ+a_e,k,k,k+k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faker,f,f,f+f,eɪ,a,eɪ+a,,,,,,,,,,,,,k,k,k+k,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,f,f,f+f,æ,a,æ+a,l,l,l+l,,,,,,,,,,k,c,k+c,ə,o,ə+o,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,f,f,f+f,ɔ,a,ɔ+a,l,ll,l+ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fallen,f,f,f+f,ɑ,a,ɑ+a,,,,,,,,,,,,,l,ll,l+ll,ə,e,ə+e,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falling,f,f,f+f,ɑ,a,ɑ+a,,,,,,,,,,,,,l,ll,l+ll,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falls,f,f,f+f,ɔ,a,ɔ+a,l,ll,l+ll,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,f,f,f+f,ɔ,a,ɔ+a_e,l,l,l+l,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fame,f,f,f+f,eɪ,a,eɪ+a_e,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familiar,f,f,f+f,ə,a,ə+a,,,,,,,,,,,,,m,m,m+m,ɪ,i,ɪ+i,l,l,l+l,,,,,,,,,,j,i,j+i,ɚ,a,ɚ+a,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
families,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,m,m,m+m,ə,i,ə+i,,,,,,,,,,,,,l,l,l+l,i,ie,i+ie,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,m,m,m+m,ə,i,ə+i,,,,,,,,,,,,,l,l,l+l,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
famous,f,f,f+f,eɪ,a,eɪ+a,,,,,,,,,,,,,m,m,m+m,ə,ou,ə+ou,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fan,f,f,f+f,æ,a,æ+a,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fancy,f,f,f+f,æ,a,æ+a,n,n,n+n,,,,,,,,,,s,c,s+c,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fang,f,f,f+f,æ,a,æ+a,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fangs,f,f,f+f,æ,a,æ+a,ŋ,ng,ŋ+ng,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fanny,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,n,nn,n+nn,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fans,f,f,f+f,æ,a,æ+a,n,n,n+n,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantasies,f,f,f+f,æ,a,æ+a,n,n,n+n,,,,,,,,,,t,t,t+t,ə,a,ə+a,,,,,,,,,,,,,s,s,s+s,i,ie,i+ie,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantastic,f,f,f+f,æ,a,æ+a,n,n,n+n,,,,,,,,,,t,t,t+t,æ,a,æ+a,,,,,,,,,,,,,s,s,s+s,t,t,t+t,ɪ,i,ɪ+i,k,c,k+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantasy,f,f,f+f,æ,a,æ+a,n,n,n+n,,,,,,,,,,t,t,t+t,ə,a,ə+a,,,,,,,,,,,,,s,s,s+s,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
far,f,f,f+f,ɑ,a,ɑ+a,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faraway,f,f,f+f,ɑ,a,ɑ+a,,,,,,,,,,,,,r,r,r+r,ə,a,ə+a,,,,,,,,,,,,,w,w,w+w,eɪ,ay,eɪ+ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farce,f,f,f+f,ɑ,a,ɑ+a_e,r,r,r+r,s,c,s+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fare,f,f,f+f,ɛ,a,ɛ+a_e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farewell,f,f,f+f,ɛ,a,ɛ+a_e,r,r,r+r,,,,,,,,,,w,w,w+w,ɛ,e,ɛ+e,l,ll,l+ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,f,f,f+f,ɑ,a,ɑ+a,r,r,r+r,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmer,f,f,f+f,ɑ,a,ɑ+a,r,r,r+r,,,,,,,,,,m,m,m+m,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmhouse,f,f,f+f,ɑ,a,ɑ+a,r,r,r+r,m,m,m+m,,,,,,,h,h,h+h,aʊ,ou,aʊ+ou_e,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farming,f,f,f+f,ɑ,a,ɑ+a,r,r,r+r,,,,,,,,,,m,m,m+m,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmyard,f,f,f+f,ɑ,a,ɑ+a,r,r,r+r,m,m,m+m,,,,,,,j,y,j+y,ɑ,a,ɑ+a,r,r,r+r,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fart,f,f,f+f,ɑ,a,ɑ+a,r,r,r+r,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farther,f,f,f+f,ɑ,a,ɑ+a,r,r,r+r,,,,,,,,,,ð,th,ð+th,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascinating,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,s,sc,s+sc,ə,i,ə+i,,,,,,,,,,,,,n,n,n+n,eɪ,a,eɪ+a,,,,,,,,,,,,,t,t,t+t,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascism,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,ʃ,sc,ʃ+sc,ɪ,i,ɪ+i,z,s,z+s,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,ʃ,shi,ʃ+shi,ə,o,ə+o,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fast,f,f,f+f,æ,a,æ+a,s,s,s+s,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fastball,f,f,f+f,æ,a,æ+a,s,s,s+s,t,t,t+t,,,,,,,b,b,b+b,ɔ,a,ɔ+a,l,ll,l+ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasten,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,s,st,s+st,ə,e,ə+e,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faster,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,s,s,s+s,t,t,t+t,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fastest,f,f,f+f,æ,a,æ+a,,,,,,,,,,,,,s,s,s+s,t,t,t+t,ə,e,ə+e,s,s,s+s,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fat,f,f,f+f,æ,a,æ+a,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
